代	か.わる かわ.る かわ.り か.わり -がわ.り -が.わり か.える よ しろ
令	
以	もっ.て
仨	
仫	
仭	はか.る
仮	かり かり-
仯	ちい.さい
仰	あお.ぐ おお.せ お.っしゃる おっしゃ.る
仱	ほ.こる つつし.む
仲	なか
仳	わか.れる
仵	あ.たる あえて さか.らう おなじ
件	くだん
价	
任	まか.せる まか.す
份	うるわ.しい あき.らか
仾	ひく.い ひく.める ひく.まる
仿	さまよ.う なら.う くら.べる
伀	おおやけ おそ.れる
企	くわだ.てる たくら.む
伂	
伃	うつく.しい
伈	おそ.れる
伉	たぐ.い なら.ぶ
伊	かれ
伋	きび.しい
伌	くる.しむ
伍	いつつ
伎	わざ わざおぎ
伏	ふ.せる ふ.す
伐	き.る そむ.く う.つ
休	やす.む やす.まる やす.める
伒	たす.ける
伕	むすめむこ
伖	かねぐら
众	おお.い
伙	ひ ほ-
会	あ.う あ.わせる あつ.まる
伜	せがれ
伝	つた.わる つた.える つた.う つだ.う -づた.い つて
伮	つと.める
伯	
估	あきな.う あた.い
伱	なんじ しかり その のみ
伳	おご.る
伴	ともな.う
伵	しず.か さび.しい
伶	わざおぎ
伷	ちすじ よつぎ
伸	の.びる の.ばす の.べる の.す
伹	つたな.い
伺	うかが.う
伻	つか.う
似	に.る ひ.る
伽	とぎ
伾	おお.い
佀	に.る ひ.る
佂	おそれあわ.てる
佃	つくだ
但	ただ.し
佇	たたず.む
佈	あまね.し
佉	
佋	たす.ける
佌	ちい.さい
位	くらい ぐらい
低	ひく.い ひく.める ひく.まる
住	す.む す.まう -ず.まい
佐	
佑	たす.ける
佒	あお.ぐ あおむ.け たの.しむ
体	からだ かたち
佔	みる うかが.う し.める
何	なに なん なに- なん-
佖	ただ.しい なら.ぶ
佗	わび.しい わび ほか わ.びる
佘	
余	あま.る あま.り あま.す あんま.り
佚	たのし.む のが.れる
佛	ほとけ
作	つく.る つく.り -づく.り
佝	せむし
佞	おもね.る よこしま
佟	
你	なんじ しかり その のみ
佣	
佤	
佩	は.く お.びる おびだま
佪	さまよ.う
佬	おお.きい
佮	あ.わせる
佯	いつわ.る
佰	おさ
佱	ふらん のり
佳	
併	あわ.せる
佶	
佷	もと.る
佸	あ.う あつ.まる つと.める いた.る
佹	かさ.なる よ.る もと.る ささ.える
佺	
佻	かる.い
佼	こう.す うつく.しい
佽	すばしこい なら.ぶ たす.ける およ.び かわるがわる
佾	やす.い やす.んずる
使	つか.う つか.い -つか.い -づか.い
侁	い.く つか.い
侂	よ.せる たの.む
侃	つよ.い
侄	かた.い おろ.か とど.まる
侅	むせ.ぶ
來	く.る きた.る きた.す き.たす き.たる
侈	おご.る
侉	おご.る ほこ.る
侊	さかん
例	たと.える
侌	かげ かげ.る
侍	さむらい はべ.る
侎	いつく.しむ
侏	
侐	しず.か さび.しい
侑	すす.める たす.ける
侒	やす.らか
侓	おお.きい
侔	ひと.しい そろ.う したが.う つと.める と.る はか.る
侖	おも.う
侗	おろ.か いた.む かたち なおい まこと つつし.む
侘	わび.しい ほこ.る わ.びる
侙	おそ.れる
侚	すみ.やか しめ.す とな.える ふか.い つか.う
供	そな.える とも -ども
依	よ.る
侞	ひと.しい したがえな.らす
侟	
侠	きゃん おとこだて
価	あたい
侫	おもね.る よこしま
侭	まま ことごとく
侮	あなど.る あなず.る
侯	
侲	わらべ よいわらべ うまかい はした.め
侵	おか.す
侶	とも
侷	たけがひく.い せま.る
侹	おとこぎ なおい つつし.む
侻	かなう よい てがる たやす.い かる.い
侼	つよ.い うら.む
侽	おとこ お
侾	おお.きい
便	たよ.り
俀	よわ.い
俁	おお.きい
係	かか.る かかり -がかり かか.わる
促	うなが.す
俄	にわか
俅	いただ.く
俆	ゆる.やか おそい
俈	
俉	むか.える あ.う
俊	
俋	たがや.す
俌	たす.ける
俍	さまよ.う
俎	いた まないた
俏	に.る かたど.る みめよい やつ.す
俐	かしこ.い
俑	
俒	まったし けが.す
俔	たと.える うかが.う
俗	
俘	とりこ
俚	いや.しい
俛	ふ.せる
俜	つか.う おとこだて
保	たも.つ
俟	ま.つ
俠	おとこだて
信	
俢	おさ.める おさ.まる
俣	また
俤	おもかげ
俥	くるま
俦	
修	おさ.める おさ.まる
俯	ふ.す うつむ.く ふ.せる
俰	やわ.らぐ
俱	ともに
俲	なら.う
俳	
俵	たわら
俶	はじめ よい
俸	
俺	おれ われ
俼	かゆ かい ひさ.ぐ
俽	よろこ.ぶ
俾	かしずく しむ
俿	かたたが.い
倀	くる.う たお.れる
倁	ゆ.く
倂	あわせる ならぶ しかし
倄	もと.る そこ.なう
倅	せがれ
倆	たくみ
倇	たの.しむ よろこ.ぶ すす.める
倉	くら
倊	くる.しむ
個	
倌	とねり
倍	
倎	あつ.い
倏	たちまち
倐	
們	ともがら
倒	たお.れる -だお.れ たお.す さかさま さかさ さかしま
倓	やす.い しず.か
倔	つよ.い
倖	しあわ.せ さいわ.い
倗	たす.ける ゆだ.ねる よ.せる
倘	もし たちもとほ.る
候	そうろう
倚	よ.る たの.む
倛	あざむ.く
倜	すぐ.れる おろ.か そむ.く
倝	かがや.く
倞	つよ.い あき.らか とお.い もと.める きそ.う
借	か.りる
倡	とな.える わざおぎ
倢	さとい すこ.やか はや.い
倣	なら.う
値	ね あたい
倥	ぬか.る
倦	あき.る あぐ.む あぐ.ねる う.む つか.れる
倧	
倨	おご.る
倩	つらつら うつく.しい
倪	きわ
倫	
倬	
倭	したが.う
倮	はだか せま.い かたぬ.ぐ すはだ
倰	おか.す あざむ.く なが.い
倲	おろか
倳	さ.す さしこ.む お.く
倵	
倶	とも.に
倹	つま.しい つづまやか
倻	
偀	はなぶさ
偁	あ.げる
偂	すす.む
偃	ふ.せる
偅	こども
偆	あつ.い うごめ.く と.む
假	かり かり.る
偈	いこ.う
偉	えら.い
偊	くぐ.まる つつし.む
偌	このような このように
偎	ほの.か なじ.む した.しむ ちかよ.る
偏	かたよ.る
偐	
偑	
偒	まっす.ぐ
偓	かか.わる
偕	ともに
偖	さて
偗	まっすぐ
偙	すぐ.れる くる.しむ
做	な.す つく.る
停	と.める と.まる
偟	たたず.む さまよ.う たちもとほ.る いとま
偠	しなや.か たおや.か
偢	いつく.しまない うれ.える
偣	きよ.い
健	すこ.やか
偦	とお.る
偧	は.る
偪	せま.い せま.る むかばき
偬	くる.しむ
偭	む.かう そむ.く かな.う
偰	きよ.い
偱	の.べる
偲	しの.ぶ
側	かわ がわ そば
偵	
偶	たま
偸	ぬす.む
偽	いつわ.る にせ いつわ.り
傀	おおき.い
傁	おきな
傃	む.かう まも.る
傄	すこ.やか
傅	かしず.く つく もり
傆	こざか.しい
傈	
傊	まさ.る ゆたか
傍	かたわ.ら わき おか- はた そば
傎	さかさま くる.う
傏	おご.る
傐	
傑	すぐ.れる
傒	あやう.い つな.ぐ
傓	さかん
傔	したが.う はべ.る つか.える
傕	
傖	いや.しい いやしいもの いなかもの
傘	かさ
備	そな.える そな.わる つぶさ.に
傚	なら.う
傛	かが.む
傜	えだち ふぞろ.い つか.い
傞	
傟	もと.る
傠	き.る そむ.く う.つ
傡	な.み なら.べる なら.ぶ なら.びに
傢	かぐ
傣	
傪	よい
催	もよう.す もよお.す
傭	やと.う あた.い ひと.しい
傯	くる.しむ
傰	とも ともがら おもねりくみ.する
傱	はやいさま
傲	おご.る あなど.る
傳	つた.わる つた.える つた.う つて
傴	かが.む せむし
債	
傷	きず いた.む いた.める
傹	つよ.い あき.らか とお.い もと.める きそ.う
傺	と.まる とど.まる
傻	
傽	おどろ.く
傾	かたむ.く かたむ.ける かたぶ.く かた.げる かし.げる
僀	すぐ.れる くる.しむ
僂	かが.む
僃	そな.える そな.わる
僄	かる.い かろ.んずる すばや.い
僅	わず.か
僇	はじ はずかし.める
僉	みな
僊	
僌	おさ.める
働	はたら.く
僎	そな.える かず かぞ.える
像	
僐	おつくり.する
僑	
僓	なら.う みや.びやか したが.う
僔	あつ.まる おお.い うやうや.しい
僕	しもべ
僖	よろこ.ぶ
僘	たか.い ほが.らか ひろ.い
僙	たけだけしいさま
僚	
僜	のぼ.る あ.がる
僝	そな.える ののし.る あらわ.す
僞	いつわ.る いつわ.り にせ
僟	よくつつし.む ちか.い
僡	
