佉	キョ コ キャ カ
佋	ショウ
佌	シ
位	イ
低	テイ
住	ジュウ ヂュウ チュウ
佐	サ
佑	ユウ ウ
佒	ヨウ オウ
体	タイ テイ
佔	チン セン テン
何	カ
佖	ヒツ ビチ
佗	タ イ
佘	シャ
余	ヨ
佚	イツ テツ
佛	ブツ フツ
作	サク サ
佝	コウ ク
佞	ネイ
佟	トウ ズ
你	ジ ニ
佣	ヨウ
佤	
佩	ハイ
佪	カイ エ
佬	リョウ ロ ロウ
佮	コウ
佯	ヨウ
佰	ヒャク ハク
佱	ホウ
佳	カ
併	ヘイ
佶	キツ キチ
佷	コン コウ ギン
佸	カツ ガチ
佹	キ
佺	セン
佻	チョウ ジョウ ヨウ
佼	キョウ コウ
佽	シ
佾	イツ イチ
使	シ
侁	シン
侂	タク
侃	カン
侄	シツ シチ テツ
侅	カイ
來	ライ タイ
侈	シ
侉	カ ケ ア
侊	コウ
例	レイ
侌	イン
侍	ジ シ
侎	ビ ミ
侏	シュ
侐	キョク ケキ キ
侑	ユウ ウ
侒	アン
侓	ロツ ロチ
侔	ボウ ム
侖	リン ロン
侗	トウ ツ ズ
侘	タ
侙	チョク チキ
侚	シュン
供	キョウ ク クウ グ
依	イ エ
侞	ジョ ニョ
侟	セン
侠	キョウ
価	カ ケ
侫	ネイ
侭	ジン
侮	ブ
侯	コウ
侲	シン
侵	シン
侶	リョ ロ
侷	キョク ゴク
侹	テイ ジョウ チョウ
侻	タツ タチ タイ テ
侼	ホツ ボチ
侽	ダン ナン
侾	コウ キョウ
便	ベン ビン
俀	タイ テ
俁	グ
係	ケイ
促	ソク
俄	ガ
俅	キュウ グ
俆	ショ
俈	コク
俉	ゴ
俊	シュン
俋	チュ チュウ ジュウ ユウ
俌	ホ フ
俍	リョウ ロウ
俎	ソ ショ
俏	ショウ
俐	リ
俑	ヨウ トウ ユウ
俒	コン カン
俔	ケン
俗	ゾク
俘	フ
俚	リ
俛	フ ベン メン
俜	ヘイ ビョウ
保	ホ ホウ
俟	シ
俠	キョウ キャン
信	シン
俢	シュウ シュ
俣	
俤	
俥	
俦	
修	シュウ シュ
俯	フ
俰	カ ワ
俱	ク
俲	コウ
俳	ハイ
俵	ヒョウ
俶	シュク テキ
俸	ホウ
俺	エン
俼	イク シュク
俽	キン コン
俾	フ ヒ ヘイ
俿	チ ジ
倀	チョウ トウ ジョウ
倁	チ ジ
倂	ヘイ
倄	コウ ギョウ カイ エ
倅	サイ ソツ ソチ
倆	リョウ
倇	エン オン
倉	ソウ
倊	ソウ ス
個	コ カ
倌	カン
倍	バイ
倎	テン
倏	シュク
倐	シュク
們	モン
倒	トウ
倓	タン
倔	クツ
倖	コウ
倗	ホウ
倘	ショウ トウ
候	コウ
倚	イ キ
倛	キ
倜	テキ チャク チュウ
倝	カン
倞	ケイ キョウ リョウ オウ コウ
借	シャク
倡	ショウ
倢	ショウ
倣	ホウ
値	チ
倥	コウ
倦	ケン
倧	ソウ ス
倨	キョ コ
倩	セン セイ
倪	ゲイ ガイ
倫	リン
倬	タク
倭	ワ イ
倮	ラ カ ゲ
倰	リョウ ロウ
倲	トウ ツ
倳	シ
倵	ブ ム
倶	グ ク
倹	ケン
倻	ヤ
偀	エイ
偁	ショウ
偂	セン
偃	エン
偅	ショウ シュ トウ
偆	シュン チュン
假	カ ケ
偈	ゲ ケツ ケイ
偉	イ
偊	ウ ク
偌	ジャ ニャ
偎	ワイ エ
偏	ヘン
偐	ゲン ガン
偑	フウ フ
偒	トウ
偓	アク
偕	カイ
偖	シャ
偗	セイ ショウ
偙	テイ タイ
做	サ サク ソ
停	テイ
偟	コウ オウ
偠	ヨウ
偢	ショウ
偣	エン アン
健	ケン
偦	ショ
偧	タ
偪	フク ヒツ ヒョク ヒキ
偬	ソウ
偭	ベン メン
偰	セツ セチ
偱	シュン
偲	サイ シ
側	ソク
偵	テイ
偶	グウ
偸	ツ トウ チュウ
偽	ギ カ
傀	カイ
傁	ソウ ス
傃	ソ
傄	カツ ケチ
傅	フ
傆	ゲン カン
傈	リツ リチ
傊	イン
傍	ボウ
傎	テン
傏	トウ
傐	コウ
傑	ケツ
傒	ケイ
傓	セン
傔	ケン
傕	カク
傖	ショウ ソウ
傘	サン
備	ビ
傚	コウ
傛	ヨウ ユ
傜	ヨウ
傞	サ
傟	オウ
傠	ハツ カ ボチ
傡	ヘイ ホウ
傢	カ
傣	
傪	サン
催	サイ
傭	ヨウ チョウ
傯	ソウ
傰	ホウ
傱	ショウ シュ ソウ
傲	ゴウ
傳	テン デン
傴	ク ウ
債	サイ
傷	ショウ
傹	ケイ キョウ リョウ オウ ゴウ コウ
傺	テイ タイ
傻	サ
傽	ショウ
傾	ケイ
僀	テイ タイ
僂	ロウ ル
僃	ビ
僄	ヒョウ
僅	キン ゴン
僇	リク ロク ル
僉	セン
僊	セン
僌	ヨウ
働	ドウ リュク リキ ロク リョク
僎	セン シュン
像	ゾウ
僐	セン
僑	キョウ
僓	タイ カイ エ テ
僔	ソン
僕	ボク
僖	キ
僘	ショウ
僙	コウ
僚	リョウ
僜	トウ ト ショウ チョウ
僝	サン ゼン
僞	ギ カ
僟	キ ゲ
僡	
僢	セン シュン
僣	シン セン
僤	タン セン タツ タチ
僥	ギョウ キョウ
僦	シュウ シュ
僧	ソウ
僨	フン ホン
僩	カン ゲン
僭	シン セン
僮	トウ ドウ
僯	リン
僱	コ
僲	
僳	
僵	キョウ
僶	ビン ミン
價	カ ケ
僺	ショウ
僻	ヘキ ヒ ヘイ
僾	アイ
儀	ギ
儁	シュン
儂	ドウ ノウ
儃	セン タン
億	オク
儆	ケイ ショウ
儇	ケン
儈	カイ ケ
儉	ケン
儋	タン セン
儌	キョウ
儍	サ
儎	サイ
儐	ヒン
儒	ジュ
儔	チュウ ジュ
儕	セイ サイ
儖	ラン
儗	ギ カイ
儘	ジン
儙	ケン
儚	ボウ モウ
儛	ブ ム
儜	ドウ ニョウ ネイ
儝	ケイ
儞	ジ ニ
償	ショウ
儡	ライ
儣	コウ
儧	サン
儨	シツ シチ
優	ユウ ウ
儬	シン
儭	シン
儯	トウ
儱	ロウ ル リョウ リュ
儲	チョ
儳	サン
儴	ショウ ソウ
儵	シュウ
儷	レイ
儸	ラ
儹	サン
儺	ナ ダ
儻	トウ
儼	ゲン
儿	ジン ニン
兀	コツ
允	イン
兂	シン サン
元	ゲン ガン
兄	ケイ キョウ
充	ジュウ
兆	チョウ
兇	キョウ
先	セン
光	コウ
兊	ダ エイ エツ タイ
克	コク
兌	ダ エイ エツ タイ
免	メン
兎	ト ツ
兏	チョウ
児	ジ ニ ゲイ
兒	ジ ニ ゲイ
兓	シン サン
兔	ト ツ
兕	シ
兗	エン
兘	シ
党	トウ
兜	トウ ト
兟	シン
兠	
兢	キョウ
兤	コウ
入	ニュウ ジュ
兦	ボウ モウ
全	ゼン
兩	リョウ
兪	ツ トウ ユ
八	ハチ
公	コウ ク
